a,b,c,d,e,f
         606.000000,          57.000000,         395.000000,           0.501778,           0.146834,           0.199956
         607.000000,          88.000000,         395.000000,           0.521767,           0.146887,           0.200022
         608.000000,         120.000000,         392.000000,           0.541762,           0.146955,           0.200019
         609.000000,         151.000000,         391.000000,           0.561758,           0.146990,           0.200089
         610.000000,         182.000000,         388.000000,           0.581770,           0.147000,           0.200120
         611.000000,         214.000000,         389.000000,           0.601766,           0.147071,           0.200137
         587.000000,         439.000000,         385.000000,           0.741819,           0.127528,           0.200487
         586.000000,         406.000000,         385.000000,           0.721819,           0.127424,           0.200411
         585.000000,         374.000000,         385.000000,           0.701815,           0.127300,           0.200314
         584.000000,         342.000000,         386.000000,           0.681810,           0.127228,           0.200296
         583.000000,         310.000000,         386.000000,           0.661816,           0.127140,           0.200214
         582.000000,         278.000000,         387.000000,           0.641826,           0.127080,           0.200078
         580.000000,         246.000000,         387.000000,           0.621805,           0.127045,           0.200007
         579.000000,         215.000000,         389.000000,           0.601819,           0.126997,           0.199959
         578.000000,         183.000000,         389.000000,           0.581830,           0.126974,           0.199919
         577.000000,         151.000000,         391.000000,           0.561829,           0.126896,           0.199865
         577.000000,         120.000000,         393.000000,           0.541855,           0.126878,           0.199841
         576.000000,          89.000000,         391.000000,           0.521867,           0.126832,           0.199777
         575.000000,          58.000000,         394.000000,           0.501890,           0.126809,           0.199792
         574.000000,          28.000000,         396.000000,           0.481924,           0.126800,           0.199801
         542.000000,          27.000000,         395.000000,           0.481985,           0.106794,           0.199775
         543.000000,          58.000000,         393.000000,           0.501971,           0.106804,           0.199789
         544.000000,          90.000000,         393.000000,           0.521979,           0.106823,           0.199858
         544.000000,         121.000000,         391.000000,           0.541982,           0.106826,           0.199921
         545.000000,         152.000000,         391.000000,           0.561990,           0.106874,           0.199957
         546.000000,         184.000000,         391.000000,           0.582009,           0.106910,           0.199972
         547.000000,         215.000000,         389.000000,           0.602026,           0.106945,           0.200034
         548.000000,         247.000000,         390.000000,           0.622025,           0.107002,           0.200074
         550.000000,         279.000000,         387.000000,           0.642041,           0.107035,           0.200106
         551.000000,         311.000000,         388.000000,           0.662040,           0.107087,           0.200140
         552.000000,         343.000000,         387.000000,           0.682053,           0.107145,           0.200170
         553.000000,         375.000000,         386.000000,           0.702079,           0.107234,           0.200157
         554.000000,         407.000000,         386.000000,           0.722100,           0.107317,           0.200179
         555.000000,         439.000000,         385.000000,           0.742102,           0.107382,           0.200225
         523.000000,         441.000000,         386.000000,           0.742176,           0.087408,           0.200026
         522.000000,         407.000000,         387.000000,           0.722194,           0.087298,           0.199966
         521.000000,         375.000000,         387.000000,           0.702210,           0.087195,           0.199964
         520.000000,         343.000000,         387.000000,           0.682216,           0.087117,           0.199903
         519.000000,         311.000000,         389.000000,           0.662209,           0.087002,           0.199818
         517.000000,         279.000000,         389.000000,           0.642207,           0.086940,           0.199757
         516.000000,         247.000000,         390.000000,           0.622219,           0.086861,           0.199712
         515.000000,         216.000000,         391.000000,           0.602246,           0.086800,           0.199656
         514.000000,         184.000000,         392.000000,           0.582235,           0.086754,           0.199624
         513.000000,         153.000000,         392.000000,           0.562237,           0.086731,           0.199581
         512.000000,         122.000000,         393.000000,           0.542242,           0.086656,           0.199558
         512.000000,          91.000000,         393.000000,           0.522264,           0.086650,           0.199514
         511.000000,          60.000000,         394.000000,           0.502307,           0.086626,           0.199551
         510.000000,          28.000000,         395.000000,           0.482321,           0.086604,           0.199543
         480.000000,          59.000000,         394.000000,           0.502399,           0.066659,           0.199631
         480.000000,          91.000000,         394.000000,           0.522377,           0.066672,           0.199594
         481.000000,         123.000000,         392.000000,           0.542366,           0.066705,           0.199602
         482.000000,         154.000000,         393.000000,           0.562375,           0.066716,           0.199625
         482.000000,         185.000000,         393.000000,           0.582384,           0.066757,           0.199638
         483.000000,         216.000000,         392.000000,           0.602404,           0.066783,           0.199664
         484.000000,         248.000000,         391.000000,           0.622389,           0.066852,           0.199688
         485.000000,         277.000000,         390.000000,           0.642368,           0.066914,           0.199734
         486.000000,         311.000000,         389.000000,           0.662376,           0.066936,           0.199769
         487.000000,         343.000000,         389.000000,           0.682391,           0.066991,           0.199817
         488.000000,         376.000000,         387.000000,           0.702396,           0.067071,           0.199847
         489.000000,         408.000000,         387.000000,           0.722413,           0.067171,           0.199835
         490.000000,         440.000000,         386.000000,           0.742421,           0.067204,           0.199837
         458.000000,         440.000000,         387.000000,           0.742475,           0.047214,           0.199844
         457.000000,         408.000000,         387.000000,           0.722464,           0.047160,           0.199775
         456.000000,         376.000000,         388.000000,           0.702469,           0.047049,           0.199664
         455.000000,         344.000000,         389.000000,           0.682473,           0.047002,           0.199584
         454.000000,         312.000000,         389.000000,           0.662479,           0.046955,           0.199546
         453.000000,         280.000000,         390.000000,           0.642466,           0.046862,           0.199427
         453.000000,         248.000000,         391.000000,           0.622445,           0.046794,           0.199344
         452.000000,         217.000000,         391.000000,           0.602433,           0.046715,           0.199289
         451.000000,         186.000000,         393.000000,           0.582449,           0.046619,           0.199261
         450.000000,         155.000000,         393.000000,           0.562449,           0.046563,           0.199218
         449.000000,         124.000000,         394.000000,           0.542452,           0.046507,           0.199111
         449.000000,          92.000000,         395.000000,           0.522465,           0.046459,           0.199140
         448.000000,          61.000000,         394.000000,           0.502513,           0.046433,           0.199184
         447.000000,          30.000000,         396.000000,           0.482541,           0.046422,           0.199157
         416.000000,          30.000000,         396.000000,           0.482564,           0.026374,           0.199196
         417.000000,          61.000000,         396.000000,           0.502551,           0.026386,           0.199169
         417.000000,          93.000000,         394.000000,           0.522549,           0.026404,           0.199184
         418.000000,         124.000000,         394.000000,           0.542567,           0.026482,           0.199184
         419.000000,         155.000000,         393.000000,           0.562553,           0.026538,           0.199198
         419.000000,         187.000000,         392.000000,           0.582570,           0.026631,           0.199233
         420.000000,         218.000000,         391.000000,           0.602586,           0.026705,           0.199294
         421.000000,         249.000000,         390.000000,           0.622618,           0.026768,           0.199321
         421.000000,         281.000000,         389.000000,           0.642630,           0.026831,           0.199369
         422.000000,         312.000000,         389.000000,           0.662637,           0.026879,           0.199462
         423.000000,         344.000000,         389.000000,           0.682660,           0.026967,           0.199474
         424.000000,         376.000000,         389.000000,           0.702672,           0.027018,           0.199550
         425.000000,         408.000000,         388.000000,           0.722671,           0.027115,           0.199545
         426.000000,         441.000000,         387.000000,           0.742678,           0.027187,           0.199528
