pixelx,pixely,pixelz,robotx,roboty,robotz
         536,          49,         563,           0.443804,           0.160355,           0.035042
         536,          71,         559,           0.463795,           0.160342,           0.035016
         537,          93,         559,           0.483791,           0.160349,           0.035028
         537,         115,         558,           0.503816,           0.160330,           0.035055
         538,         137,         556,           0.523800,           0.160361,           0.035006
         538,         159,         554,           0.543800,           0.160362,           0.035035
         539,         181,         554,           0.563817,           0.160362,           0.035052
         539,         204,         556,           0.583794,           0.160418,           0.035049
         539,         226,         553,           0.603799,           0.160345,           0.035038
         540,         248,         554,           0.623781,           0.160387,           0.034996
         540,         271,         552,           0.643792,           0.160390,           0.035019
         541,         293,         552,           0.663796,           0.160368,           0.034964
         541,         316,         550,           0.683801,           0.160409,           0.035022
         542,         338,         551,           0.703797,           0.160462,           0.035064
         543,         361,         547,           0.723801,           0.160407,           0.035027
         544,         383,         549,           0.743800,           0.160399,           0.035083
         544,         406,         549,           0.763781,           0.160390,           0.035040
         522,         406,         548,           0.763779,           0.140383,           0.034852
         521,         383,         548,           0.743792,           0.140221,           0.034853
         520,         361,         552,           0.723797,           0.140235,           0.034835
         520,         338,         550,           0.703778,           0.140271,           0.034831
         519,         316,         552,           0.683794,           0.140250,           0.034923
         518,         293,         553,           0.663776,           0.140265,           0.034911
         517,         271,         555,           0.643786,           0.140307,           0.034921
         517,         248,         555,           0.623810,           0.140286,           0.034969
         516,         226,         554,           0.603806,           0.140240,           0.034931
         516,         204,         557,           0.583815,           0.140277,           0.034901
         516,         182,         555,           0.563817,           0.140302,           0.034941
         515,         160,         557,           0.543784,           0.140271,           0.034880
         515,         138,         556,           0.523813,           0.140263,           0.034917
         515,         115,         559,           0.503768,           0.140298,           0.034884
         514,          94,         558,           0.483777,           0.140305,           0.034906
         514,          72,         559,           0.463807,           0.140329,           0.034935
         514,          50,         559,           0.443797,           0.140317,           0.034931
         513,          28,         562,           0.423803,           0.140358,           0.034927
         491,          28,         563,           0.423798,           0.120336,           0.035003
         492,          50,         562,           0.443810,           0.120356,           0.035051
         492,          72,         560,           0.463788,           0.120335,           0.035008
         492,          94,         557,           0.483806,           0.120341,           0.035058
         492,         116,         559,           0.503809,           0.120384,           0.035063
         492,         138,         560,           0.523790,           0.120339,           0.035028
         493,         160,         558,           0.543806,           0.120372,           0.035047
         493,         182,         557,           0.563798,           0.120378,           0.035002
         493,         204,         557,           0.583775,           0.120366,           0.034999
         494,         226,         557,           0.603791,           0.120362,           0.035027
         494,         249,         555,           0.623789,           0.120350,           0.035018
         495,         271,         556,           0.643811,           0.120329,           0.035043
         496,         293,         555,           0.663774,           0.120365,           0.034978
         497,         316,         554,           0.683797,           0.120354,           0.035023
         498,         338,         552,           0.703802,           0.120399,           0.034993
         498,         361,         552,           0.723799,           0.120392,           0.035003
         499,         383,         551,           0.743802,           0.120421,           0.035022
         500,         406,         549,           0.763794,           0.120362,           0.034994
         477,         406,         552,           0.763827,           0.100371,           0.034912
         476,         383,         551,           0.743800,           0.100216,           0.034912
         476,         361,         552,           0.723790,           0.100272,           0.034892
         475,         338,         554,           0.703772,           0.100267,           0.034879
         474,         316,         554,           0.683787,           0.100245,           0.034932
         473,         293,         555,           0.663811,           0.100254,           0.034915
         473,         271,         557,           0.643783,           0.100302,           0.034900
         472,         249,         556,           0.623795,           0.100283,           0.034912
         472,         227,         557,           0.603790,           0.100295,           0.034899
         471,         205,         560,           0.583771,           0.100283,           0.034910
         471,         183,         559,           0.563791,           0.100299,           0.034938
         470,         161,         558,           0.543803,           0.100290,           0.034901
         470,         138,         560,           0.523770,           0.100293,           0.034867
         470,         117,         560,           0.503769,           0.100301,           0.034887
         470,          94,         559,           0.483795,           0.100301,           0.034900
         470,          73,         560,           0.463813,           0.100299,           0.034929
         469,          50,         560,           0.443779,           0.100289,           0.034889
         469,          28,         561,           0.423781,           0.100314,           0.034894
         447,          28,         560,           0.423772,           0.080329,           0.034977
         447,          50,         563,           0.443806,           0.080347,           0.035037
         447,          73,         559,           0.463779,           0.080323,           0.034998
         447,          95,         559,           0.483805,           0.080355,           0.035048
         447,         117,         560,           0.503800,           0.080346,           0.035015
         447,         139,         559,           0.523810,           0.080338,           0.035018
         448,         161,         559,           0.543794,           0.080384,           0.035039
         449,         183,         558,           0.563796,           0.080355,           0.035046
         449,         205,         557,           0.583794,           0.080368,           0.034999
         450,         227,         557,           0.603772,           0.080437,           0.035012
         450,         249,         558,           0.623803,           0.080362,           0.035038
         451,         271,         555,           0.643786,           0.080373,           0.035043
         451,         293,         556,           0.663792,           0.080421,           0.035018
         452,         316,         554,           0.683802,           0.080456,           0.035009
         453,         338,         553,           0.703818,           0.080392,           0.035031
         453,         361,         552,           0.723799,           0.080349,           0.034989
         454,         384,         550,           0.743796,           0.080398,           0.035007
         455,         406,         551,           0.763808,           0.080359,           0.034990
         432,         406,         552,           0.763831,           0.060367,           0.034934
         431,         384,         554,           0.743770,           0.060246,           0.034898
         431,         361,         553,           0.723781,           0.060262,           0.034901
         430,         338,         552,           0.703788,           0.060238,           0.034916
         429,         316,         554,           0.683799,           0.060222,           0.034874
         429,         293,         556,           0.663792,           0.060254,           0.034941
         428,         271,         557,           0.643767,           0.060221,           0.034891
         428,         249,         555,           0.623781,           0.060258,           0.034861
         428,         227,         555,           0.603782,           0.060277,           0.034901
         427,         206,         557,           0.583778,           0.060288,           0.034908
         427,         183,         555,           0.563789,           0.060276,           0.034875
         426,         161,         560,           0.543756,           0.060295,           0.034891
         426,         139,         559,           0.523754,           0.060312,           0.034909
         425,         117,         560,           0.503780,           0.060292,           0.034910
         425,          96,         562,           0.483771,           0.060282,           0.034856
         425,          74,         561,           0.463788,           0.060316,           0.034907
         425,          51,         560,           0.443789,           0.060298,           0.034905
         424,          29,         561,           0.423797,           0.060303,           0.034915
         402,          29,         562,           0.423789,           0.040368,           0.035011
         402,          52,         562,           0.443799,           0.040375,           0.035026
         403,          74,         564,           0.463814,           0.040350,           0.035020
         403,          96,         561,           0.483789,           0.040306,           0.034993
         404,         118,         560,           0.503827,           0.040347,           0.035036
         404,         139,         560,           0.523830,           0.040354,           0.035053
         404,         161,         560,           0.543799,           0.040361,           0.034997
         405,         183,         558,           0.563794,           0.040372,           0.035035
         405,         206,         555,           0.583813,           0.040404,           0.035044
         406,         227,         555,           0.603792,           0.040380,           0.035002
         406,         249,         554,           0.623810,           0.040410,           0.035029
         406,         271,         556,           0.643766,           0.040371,           0.034952
         407,         294,         553,           0.663805,           0.040396,           0.035005
         407,         316,         555,           0.683823,           0.040390,           0.035044
         408,         339,         553,           0.703809,           0.040433,           0.034988
         408,         361,         553,           0.723807,           0.040402,           0.035018
         409,         384,         552,           0.743800,           0.040361,           0.035018
         409,         406,         552,           0.763799,           0.040389,           0.034963
         387,         407,         551,           0.763831,           0.020344,           0.035018
         386,         384,         555,           0.743793,           0.020234,           0.034973
         386,         361,         556,           0.723781,           0.020233,           0.034941
         385,         339,         554,           0.703798,           0.020248,           0.034970
         385,         316,         554,           0.683773,           0.020280,           0.034984
         384,         294,         555,           0.663787,           0.020240,           0.034906
         384,         272,         554,           0.643795,           0.020270,           0.034865
         384,         250,         554,           0.623780,           0.020256,           0.034905
         383,         228,         554,           0.603777,           0.020282,           0.034918
         383,         206,         555,           0.583786,           0.020278,           0.034911
         383,         184,         556,           0.563774,           0.020256,           0.034866
         382,         162,         557,           0.543783,           0.020285,           0.034920
         382,         140,         560,           0.523766,           0.020304,           0.034893
         382,         118,         561,           0.503768,           0.020285,           0.034933
         381,          96,         561,           0.483766,           0.020263,           0.034885
         381,          74,         562,           0.463784,           0.020316,           0.034923
         381,          52,         562,           0.443753,           0.020299,           0.034874
         380,          30,         564,           0.423794,           0.020325,           0.034931
         359,          30,         562,           0.423818,           0.000323,           0.035049
         359,          52,         561,           0.443774,           0.000362,           0.035006
         359,          75,         561,           0.463826,           0.000376,           0.035048
         360,          97,         562,           0.483801,           0.000370,           0.035004
         360,         118,         561,           0.503816,           0.000365,           0.035030
         360,         140,         560,           0.523816,           0.000394,           0.035050
         360,         162,         559,           0.543804,           0.000420,           0.035035
         361,         184,         557,           0.563807,           0.000397,           0.035000
         361,         206,         554,           0.583805,           0.000377,           0.034995
         361,         228,         556,           0.603816,           0.000359,           0.035038
         362,         250,         555,           0.623816,           0.000408,           0.035060
         362,         272,         554,           0.643799,           0.000385,           0.034960
         362,         294,         554,           0.663787,           0.000394,           0.034982
         363,         316,         552,           0.683811,           0.000409,           0.035030
         363,         339,         555,           0.703821,           0.000380,           0.035033
         363,         361,         553,           0.723805,           0.000393,           0.035013
         364,         384,         553,           0.743832,           0.000344,           0.035062
         341,         384,         552,           0.743788,          -0.019794,           0.034943
         341,         361,         555,           0.723763,          -0.019763,           0.034913
         341,         339,         555,           0.703783,          -0.019689,           0.034963
         340,         317,         556,           0.683788,          -0.019753,           0.034951
         340,         294,         555,           0.663792,          -0.019741,           0.034943
         340,         272,         555,           0.643773,          -0.019757,           0.034879
         339,         250,         554,           0.623773,          -0.019718,           0.034910
         339,         228,         557,           0.603772,          -0.019730,           0.034876
         339,         206,         557,           0.583795,          -0.019737,           0.034926
         339,         184,         558,           0.563780,          -0.019719,           0.034906
         338,         162,         560,           0.543805,          -0.019754,           0.034944
         338,         141,         561,           0.523756,          -0.019738,           0.034909
         338,         119,         561,           0.503761,          -0.019715,           0.034921
         337,          97,         563,           0.483751,          -0.019743,           0.034905
         337,          75,         563,           0.463786,          -0.019700,           0.034909
         337,          53,         562,           0.443780,          -0.019729,           0.034926
         337,          31,         561,           0.423771,          -0.019712,           0.034922
         315,          31,         562,           0.423788,          -0.039648,           0.035006
         315,          53,         564,           0.443806,          -0.039636,           0.035042
         315,          75,         564,           0.463835,          -0.039625,           0.035055
         315,          97,         564,           0.483772,          -0.039655,           0.034994
         316,         119,         564,           0.503805,          -0.039624,           0.034989
         316,         141,         561,           0.523837,          -0.039618,           0.035054
         316,         163,         560,           0.543806,          -0.039609,           0.035008
         317,         185,         560,           0.563781,          -0.039626,           0.035031
         317,         207,         559,           0.583815,          -0.039636,           0.035028
         317,         229,         557,           0.603844,          -0.039602,           0.035053
         317,         250,         557,           0.623813,          -0.039654,           0.034998
         318,         272,         559,           0.643787,          -0.039625,           0.035007
         318,         295,         556,           0.663830,          -0.039579,           0.034997
         318,         317,         556,           0.683819,          -0.039634,           0.035024
         319,         339,         556,           0.703825,          -0.039596,           0.035069
         319,         362,         553,           0.723821,          -0.039618,           0.035051
         297,         362,         555,           0.723769,          -0.059738,           0.034895
         296,         340,         556,           0.703770,          -0.059728,           0.034902
         296,         317,         556,           0.683767,          -0.059745,           0.034879
